AVG_PRICE,HOURLY_BUCKET
41.00,03-23 01:00
40.75,03-23 07:00
40.23,03-23 08:00
40.31,03-23 09:00
40.69,03-23 10:00
41.26,03-23 11:00
41.94,03-23 12:00
41.85,03-23 13:00
43.05,03-23 14:00
42.91,03-23 15:00
42.85,03-23 16:00
42.81,03-23 17:00
43.73,03-23 18:00
43.62,03-23 20:00
42.97,03-23 21:00
42.97,03-23 22:00
42.75,03-23 23:00
42.39,03-24 00:00
42.10,03-24 01:00
42.75,03-24 07:00
43.03,03-24 08:00
42.84,03-24 09:00
42.32,03-24 10:00
41.95,03-24 11:00
41.82,03-24 12:00
42.25,03-24 13:00
42.57,03-24 14:00
42.17,03-24 15:00
41.51,03-24 16:00
41.77,03-24 17:00
41.49,03-24 18:00
41.43,03-24 19:00
41.50,03-24 20:00
41.50,03-24 21:00
41.77,03-25 01:00
42.00,03-25 08:00
41.60,03-25 12:00
41.77,03-25 13:00
42.22,03-26 09:00
42.00,03-26 10:00
42.06,03-26 11:00
42.44,03-26 12:00
42.71,03-26 13:00
42.56,03-26 14:00
42.73,03-26 15:00
42.58,03-26 17:00
42.88,03-26 18:00
43.25,03-26 19:00
43.59,03-26 20:00
43.41,03-26 21:00
43.22,03-26 23:00
42.50,03-27 06:00
42.40,03-27 07:00
42.81,03-27 08:00
43.32,03-27 09:00
43.55,03-27 10:00
43.15,03-27 11:00
43.00,03-27 12:00
43.13,03-27 13:00
43.43,03-27 14:00
43.26,03-27 15:00
42.36,03-27 16:00
42.33,03-27 17:00
42.85,03-27 18:00
43.05,03-27 19:00
43.35,03-27 20:00
42.30,03-27 21:00
42.20,03-27 23:00
42.20,03-28 00:00
41.81,03-28 06:00
41.46,03-28 07:00
41.89,03-28 08:00
41.75,03-28 09:00
42.30,03-28 10:00
42.80,03-28 11:00
43.53,03-28 12:00
43.68,03-28 13:00
43.51,03-28 14:00
43.12,03-28 15:00
43.33,03-28 16:00
43.49,03-28 19:00
43.43,03-28 20:00
43.35,03-28 21:00
43.23,03-28 22:00
42.48,03-28 23:00
43.35,03-29 00:00
43.85,03-29 06:00
44.68,03-29 07:00
44.07,03-29 08:00
43.46,03-29 09:00
43.36,03-29 10:00
42.62,03-29 11:00
42.66,03-29 12:00
42.95,03-29 13:00
42.87,03-29 14:00
42.65,03-29 15:00
43.03,03-29 16:00
42.78,03-29 17:00
42.72,03-29 19:00
42.70,03-29 20:00
42.65,03-29 21:00
42.57,03-29 22:00
42.33,03-29 23:00
42.55,03-30 00:00
42.52,03-30 06:00
43.11,03-30 07:00
42.72,03-30 08:00
42.98,03-30 09:00
43.26,03-30 10:00
43.01,03-30 11:00
42.63,03-30 12:00
42.81,03-30 13:00
43.25,03-30 14:00
43.15,03-30 15:00
42.41,03-30 16:00
42.27,03-30 17:00
42.03,03-30 18:00
41.97,03-30 19:00
41.91,03-30 20:00
41.98,03-30 21:00
41.83,03-30 22:00
42.19,03-30 23:00
42.00,03-31 00:00
43.50,03-31 06:00
45.24,03-31 07:00
45.91,03-31 08:00
45.70,03-31 09:00
45.40,03-31 10:00
45.98,03-31 11:00
47.00,03-31 12:00
47.89,03-31 13:00
48.01,03-31 14:00
47.79,03-31 15:00
46.49,03-31 16:00
46.38,03-31 17:00
46.50,03-31 18:00
46.80,04-01 00:00
46.80,04-01 01:00
46.46,04-01 04:00
46.80,04-01 05:00
47.22,04-01 11:00
47.03,04-01 12:00
47.18,04-01 15:00
47.30,04-01 18:00
47.26,04-01 19:00
47.27,04-01 20:00
47.29,04-01 21:00
47.30,04-01 22:00
47.30,04-02 06:00
47.30,04-02 07:00
47.29,04-02 08:00
47.35,04-02 09:00
47.26,04-02 10:00
46.85,04-02 11:00
47.14,04-02 12:00
47.38,04-02 13:00
47.66,04-02 14:00
46.92,04-02 15:00
47.43,04-02 16:00
47.83,04-02 17:00
48.03,04-02 18:00
47.97,04-02 19:00
48.02,04-02 20:00
47.91,04-02 21:00
48.20,04-02 22:00
48.35,04-02 23:00
49.07,04-03 00:00
49.00,04-03 06:00
47.97,04-03 07:00
48.94,04-03 08:00
50.01,04-03 09:00
49.84,04-03 10:00
49.63,04-03 11:00
50.57,04-03 12:00
50.74,04-03 13:00
51.16,04-03 14:00
52.07,04-03 15:00
51.42,04-03 16:00
50.16,04-03 19:00
50.11,04-03 20:00
51.00,04-03 22:00
51.03,04-03 23:00
51.30,04-04 00:00
50.90,04-04 06:00
50.31,04-04 07:00
50.53,04-04 08:00
50.11,04-04 09:00
50.22,04-04 10:00
49.99,04-04 11:00
49.87,04-04 12:00
49.29,04-04 13:00
48.47,04-04 14:00
47.21,04-04 15:00
47.05,04-04 16:00
47.17,04-04 17:00
46.90,04-04 18:00
46.50,04-04 19:00
46.73,04-04 20:00
46.92,04-04 21:00
46.36,04-04 22:00
46.41,04-04 23:00
46.32,04-05 00:00
46.40,04-05 06:00
47.09,04-05 07:00
47.36,04-05 08:00
47.57,04-05 09:00
47.76,04-05 10:00
48.15,04-05 11:00
48.34,04-05 12:00
46.97,04-05 13:00
46.04,04-05 14:00
45.57,04-05 15:00
46.11,04-05 16:00
45.98,04-05 17:00
46.00,04-05 18:00
45.80,04-05 20:00
45.80,04-05 21:00
45.62,04-05 23:00
44.80,04-06 06:00
44.24,04-06 07:00
43.89,04-06 08:00
44.37,04-06 09:00
44.24,04-06 10:00
44.01,04-06 11:00
43.88,04-06 12:00
43.25,04-06 13:00
43.39,04-06 14:00
43.23,04-06 15:00
42.65,04-06 16:00
42.90,04-06 18:00
42.90,04-06 19:00
42.98,04-06 20:00
43.47,04-06 23:00
44.50,04-07 05:00
45.68,04-07 09:00
45.22,04-07 10:00
44.52,04-07 11:00
44.00,04-07 12:00
44.30,04-07 18:00
44.27,04-07 22:00
44.70,04-08 09:00
44.42,04-08 21:00
42.90,04-09 10:00
42.90,04-09 12:00
43.15,04-09 13:00
42.91,04-09 14:00
43.05,04-09 15:00
42.45,04-09 20:00
42.25,04-10 08:00
42.00,04-10 10:00
42.68,04-10 11:00
42.64,04-10 12:00
42.93,04-10 13:00
42.40,04-10 14:00
42.32,04-10 15:00
41.81,04-10 18:00
41.98,04-10 19:00
41.73,04-10 20:00
41.52,04-10 21:00
41.50,04-10 22:00
41.58,04-10 23:00
42.53,04-11 07:00
43.30,04-11 08:00
43.53,04-11 09:00
43.11,04-11 10:00
43.34,04-11 11:00
42.74,04-11 12:00
43.26,04-11 13:00
44.12,04-11 14:00
44.01,04-11 15:00
44.26,04-11 16:00
44.76,04-11 17:00
44.96,04-11 20:00
44.92,04-11 21:00
44.11,04-11 22:00
43.85,04-11 23:00
43.79,04-12 00:00
43.67,04-12 07:00
43.25,04-12 08:00
43.50,04-12 09:00
44.13,04-12 10:00
44.12,04-12 11:00
44.06,04-12 12:00
44.34,04-12 13:00
44.01,04-12 14:00
43.93,04-12 15:00
43.76,04-12 16:00
43.97,04-12 17:00
43.70,04-12 18:00
44.00,04-12 20:00
44.10,04-12 21:00
44.32,04-12 22:00
44.07,04-12 23:00
44.39,04-13 00:00
43.06,04-13 07:00
42.90,04-13 08:00
42.91,04-13 09:00
42.76,04-13 10:00
43.08,04-13 11:00
43.35,04-13 12:00
43.48,04-13 13:00
43.29,04-13 14:00
43.01,04-13 15:00
43.03,04-13 16:00
43.19,04-13 18:00
43.45,04-13 19:00
43.15,04-13 20:00
42.87,04-13 21:00
42.80,04-13 22:00
42.77,04-13 23:00
42.43,04-14 00:00
42.37,04-14 06:00
41.91,04-14 07:00
41.70,04-14 08:00
41.74,04-14 09:00
41.88,04-14 10:00
41.81,04-14 11:00
41.71,04-14 12:00
41.94,04-14 13:00
42.10,04-14 14:00
41.44,04-14 15:00
41.57,04-14 16:00
41.56,04-14 17:00
42.18,04-15 09:00
41.92,04-15 11:00
41.77,04-15 20:00
42.55,04-16 07:00
42.46,04-16 09:00
42.57,04-16 10:00
42.66,04-16 11:00
42.95,04-16 12:00
43.07,04-16 13:00
43.10,04-16 15:00
42.92,04-16 17:00
42.91,04-16 19:00
43.47,04-16 20:00
43.70,04-16 21:00
42.92,04-16 22:00
42.86,04-16 23:00
43.17,04-17 00:00
43.00,04-17 06:00
42.20,04-17 07:00
42.02,04-17 08:00
42.27,04-17 09:00
42.43,04-17 10:00
42.28,04-17 11:00
42.50,04-17 12:00
42.36,04-17 13:00
41.80,04-17 14:00
41.68,04-17 15:00
41.36,04-17 16:00
41.10,04-17 18:00
41.20,04-17 19:00
41.50,04-17 20:00
41.42,04-17 21:00
41.85,04-17 22:00
41.79,04-17 23:00
42.07,04-18 00:00
41.67,04-18 06:00
42.11,04-18 07:00
41.82,04-18 08:00
41.61,04-18 09:00
41.76,04-18 10:00
42.08,04-18 11:00
42.66,04-18 12:00
42.85,04-18 13:00
42.90,04-18 14:00
42.78,04-18 15:00
42.40,04-18 16:00
42.45,04-18 17:00
42.48,04-18 18:00
42.46,04-18 19:00
42.54,04-18 20:00
42.66,04-18 21:00
42.80,04-18 22:00
42.75,04-18 23:00
42.45,04-19 00:00
42.24,04-19 06:00
43.10,04-19 07:00
42.81,04-19 08:00
42.73,04-19 09:00
42.44,04-19 10:00
42.50,04-19 11:00
42.34,04-19 12:00
42.11,04-19 13:00
41.56,04-19 14:00
40.59,04-19 15:00
40.84,04-19 16:00
41.29,04-19 17:00
40.80,04-19 20:00
41.46,04-19 21:00
42.02,04-19 22:00
41.94,04-19 23:00
41.92,04-20 00:00
40.42,04-20 06:00
40.43,04-20 07:00
40.87,04-20 08:00
41.02,04-20 09:00
41.05,04-20 10:00
40.93,04-20 11:00
40.95,04-20 12:00
41.08,04-20 13:00
41.03,04-20 14:00
41.05,04-20 15:00
41.75,04-20 16:00
41.45,04-20 17:00
41.63,04-20 18:00
41.42,04-20 19:00
41.42,04-20 20:00
41.09,04-20 21:00
41.11,04-20 22:00
41.11,04-20 23:00
41.09,04-21 00:00
41.03,04-21 06:00
41.21,04-21 07:00
40.98,04-21 08:00
41.08,04-21 09:00
41.22,04-21 10:00
41.16,04-21 11:00
40.91,04-21 12:00
40.32,04-21 13:00
40.16,04-21 14:00
40.48,04-21 15:00
40.73,04-21 16:00
40.81,04-21 17:00
40.65,04-21 19:00
40.65,04-21 21:00
40.05,04-22 18:00
40.05,04-22 19:00
40.05,04-22 20:00
40.70,04-23 07:00
40.30,04-23 08:00
40.65,04-23 10:00
40.72,04-23 11:00
40.49,04-23 12:00
40.17,04-23 13:00
39.88,04-23 14:00
40.30,04-23 16:00
40.19,04-23 17:00
40.34,04-23 18:00
40.55,04-23 20:00
40.40,04-23 22:00
39.85,04-23 23:00
39.82,04-24 00:00
40.24,04-24 07:00
39.89,04-24 08:00
39.46,04-24 09:00
39.84,04-24 10:00
39.95,04-24 11:00
39.84,04-24 12:00
39.91,04-24 13:00
40.13,04-24 14:00
39.79,04-24 15:00
39.58,04-24 16:00
39.48,04-24 18:00
39.47,04-24 19:00
39.51,04-24 20:00
39.27,04-24 21:00
39.16,04-24 23:00
38.94,04-25 00:00
32.90,04-25 06:00
40.11,04-25 07:00
39.73,04-25 08:00
39.48,04-25 09:00
39.73,04-25 10:00
39.94,04-25 11:00
40.02,04-25 12:00
39.77,04-25 13:00
39.84,04-25 14:00
40.04,04-25 15:00
39.95,04-25 16:00
40.25,04-25 17:00
39.97,04-25 20:00
39.63,04-25 21:00
40.22,04-25 22:00
40.50,04-26 00:00
39.66,04-26 06:00
39.09,04-26 07:00
38.81,04-26 08:00
38.57,04-26 09:00
38.60,04-26 10:00
38.74,04-26 11:00
38.75,04-26 12:00
38.77,04-26 13:00
38.63,04-26 14:00
39.03,04-26 15:00
39.50,04-26 16:00
40.09,04-26 17:00
40.03,04-26 18:00
39.58,04-26 20:00
39.15,04-26 21:00
39.27,04-26 22:00
38.87,04-27 06:00
38.67,04-27 07:00
38.63,04-27 08:00
39.04,04-27 09:00
38.76,04-27 10:00
38.68,04-27 11:00
38.65,04-27 12:00
38.73,04-27 13:00
38.92,04-27 14:00
39.20,04-27 15:00
39.05,04-27 16:00
39.00,04-27 18:00
39.00,04-27 19:00
39.00,04-27 20:00
38.86,04-27 23:00
38.77,04-28 00:00
39.08,04-28 07:00
39.77,04-28 08:00
40.00,04-28 09:00
39.75,04-28 10:00
39.36,04-28 11:00
39.48,04-28 12:00
39.58,04-28 13:00
39.17,04-28 14:00
38.24,04-28 15:00
38.09,04-28 16:00
38.09,04-28 17:00
37.10,04-29 05:00
37.10,04-29 06:00
38.32,04-29 09:00
38.37,04-29 11:00
36.50,04-30 19:00
36.50,04-30 23:00
38.00,05-01 07:00
38.20,05-01 08:00
38.44,05-01 09:00
38.52,05-01 10:00
39.13,05-01 11:00
39.07,05-01 12:00
38.52,05-01 13:00
38.30,05-01 14:00
38.49,05-01 15:00
38.44,05-01 16:00
38.39,05-01 17:00
38.70,05-01 18:00
39.19,05-01 19:00
39.34,05-01 20:00
39.61,05-01 21:00
40.00,05-01 22:00
40.02,05-01 23:00
39.16,05-02 00:00
38.62,05-02 06:00
38.39,05-02 07:00
38.23,05-02 08:00
38.32,05-02 09:00
38.38,05-02 10:00
38.06,05-02 11:00
38.00,05-02 12:00
38.13,05-02 13:00
38.06,05-02 14:00
37.34,05-02 15:00
37.08,05-02 16:00
37.20,05-02 17:00
37.45,05-02 18:00
37.78,05-02 19:00
37.90,05-02 20:00
37.86,05-02 21:00
37.91,05-02 22:00
37.60,05-02 23:00
37.36,05-03 00:00
37.46,05-03 06:00
36.99,05-03 07:00
36.55,05-03 08:00
36.58,05-03 09:00
36.67,05-03 10:00
36.65,05-03 11:00
36.84,05-03 12:00
36.58,05-03 13:00
36.32,05-03 14:00
36.46,05-03 15:00
36.87,05-03 16:00
37.36,05-03 18:00
36.97,05-03 19:00
36.90,05-03 21:00
36.40,05-03 23:00
37.00,05-04 00:00
36.88,05-04 06:00
36.03,05-04 07:00
36.00,05-04 08:00
36.24,05-04 09:00
36.20,05-04 10:00
35.94,05-04 11:00
35.84,05-04 12:00
35.75,05-04 13:00
35.53,05-04 14:00
35.20,05-04 15:00
34.72,05-04 16:00
34.56,05-04 17:00
34.53,05-04 18:00
34.70,05-04 19:00
34.25,05-04 20:00
34.12,05-04 21:00
34.16,05-04 23:00
34.67,05-05 00:00
35.39,05-05 06:00
34.87,05-05 07:00
34.91,05-05 08:00
35.32,05-05 09:00
35.56,05-05 10:00
35.66,05-05 11:00
35.60,05-05 12:00
35.44,05-05 13:00
35.68,05-05 14:00
36.02,05-05 15:00
35.46,05-05 16:00
35.76,05-05 17:00
35.85,05-05 19:00
35.85,05-05 22:00
36.00,05-07 09:00
36.00,05-07 13:00
36.00,05-07 14:00
36.00,05-07 15:00
36.00,05-07 16:00
35.81,05-07 20:00
35.00,05-08 07:00
35.20,05-08 08:00
35.38,05-08 09:00
35.81,05-08 10:00
35.91,05-08 11:00
36.06,05-08 12:00
36.23,05-08 13:00
36.64,05-08 14:00
36.91,05-08 15:00
37.11,05-08 16:00
37.35,05-08 17:00
37.33,05-08 18:00
37.21,05-08 19:00
37.88,05-08 20:00
38.51,05-08 21:00
38.30,05-08 22:00
38.24,05-08 23:00
38.01,05-09 00:00
37.16,05-09 06:00
36.42,05-09 07:00
36.08,05-09 08:00
36.17,05-09 09:00
35.89,05-09 10:00
35.96,05-09 11:00
36.26,05-09 12:00
36.71,05-09 13:00
36.50,05-09 14:00
35.89,05-09 15:00
36.00,05-09 16:00
36.12,05-09 17:00
36.80,05-09 19:00
36.78,05-09 20:00
36.92,05-09 21:00
37.07,05-09 22:00
36.15,05-09 23:00
35.74,05-10 00:00
35.56,05-10 06:00
35.67,05-10 07:00
36.02,05-10 08:00
35.71,05-10 09:00
35.69,05-10 10:00
35.71,05-10 11:00
35.76,05-10 12:00
35.86,05-10 13:00
35.56,05-10 14:00
35.21,05-10 15:00
35.32,05-10 16:00
35.87,05-10 17:00
35.21,05-10 19:00
35.10,05-10 20:00
34.04,05-10 21:00
33.73,05-10 22:00
33.60,05-10 23:00
33.35,05-11 00:00
34.97,05-11 06:00
34.52,05-11 07:00
34.46,05-11 08:00
34.65,05-11 09:00
34.63,05-11 10:00
34.58,05-11 11:00
34.49,05-11 12:00
34.31,05-11 13:00
34.55,05-11 14:00
34.36,05-11 15:00
34.28,05-11 16:00
34.57,05-11 17:00
34.75,05-11 18:00
34.07,05-11 20:00
34.22,05-11 22:00
33.88,05-11 23:00
33.82,05-12 00:00
34.00,05-12 06:00
33.79,05-12 07:00
33.79,05-12 08:00
34.01,05-12 09:00
33.92,05-12 10:00
33.77,05-12 11:00
33.65,05-12 12:00
33.37,05-12 13:00
33.03,05-12 14:00
31.69,05-12 15:00
32.81,05-12 16:00
32.26,05-13 11:00
32.76,05-13 12:00
33.07,05-13 13:00
32.45,05-14 08:00
32.95,05-14 09:00
32.71,05-14 10:00
32.91,05-14 11:00
33.13,05-14 12:00
33.10,05-14 14:00
33.02,05-14 15:00
33.22,05-14 16:00
33.39,05-14 17:00
33.72,05-14 18:00
33.62,05-14 19:00
33.69,05-14 21:00
33.77,05-14 22:00
33.38,05-14 23:00
31.88,05-15 00:00
32.11,05-15 06:00
31.86,05-15 07:00
32.46,05-15 08:00
32.73,05-15 09:00
32.48,05-15 10:00
32.04,05-15 11:00
32.03,05-15 12:00
32.15,05-15 13:00
32.02,05-15 14:00
31.27,05-15 15:00
32.27,05-15 16:00
32.80,05-15 17:00
32.78,05-15 18:00
33.31,05-15 19:00
33.55,05-15 20:00
33.63,05-15 21:00
33.75,05-15 22:00
33.96,05-15 23:00
34.05,05-16 00:00
32.21,05-16 06:00
31.83,05-16 07:00
31.56,05-16 08:00
31.70,05-16 09:00
31.82,05-16 10:00
31.83,05-16 11:00
31.99,05-16 12:00
32.32,05-16 13:00
31.66,05-16 14:00
32.05,05-16 15:00
32.68,05-16 16:00
33.35,05-16 17:00
33.07,05-16 18:00
32.73,05-16 19:00
32.68,05-16 20:00
32.33,05-16 21:00
32.07,05-16 22:00
32.23,05-16 23:00
32.48,05-17 00:00
31.66,05-17 06:00
31.74,05-17 07:00
31.97,05-17 08:00
32.36,05-17 09:00
32.28,05-17 10:00
32.55,05-17 11:00
32.11,05-17 12:00
31.93,05-17 13:00
31.80,05-17 14:00
31.49,05-17 15:00
31.21,05-17 16:00
31.35,05-17 17:00
31.30,05-17 18:00
31.46,05-17 19:00
31.58,05-17 20:00
31.66,05-17 21:00
31.66,05-17 22:00
31.28,05-17 23:00
31.30,05-18 00:00
30.70,05-18 06:00
30.90,05-18 07:00
30.95,05-18 08:00
30.73,05-18 09:00
30.56,05-18 10:00
30.39,05-18 11:00
30.52,05-18 12:00
29.85,05-18 13:00
29.76,05-18 14:00
29.42,05-18 15:00
29.31,05-18 16:00
29.40,05-18 17:00
29.71,05-18 18:00
29.18,05-18 19:00
29.33,05-18 20:00
29.16,05-18 21:00
28.92,05-18 22:00
28.73,05-18 23:00
28.26,05-19 00:00
29.33,05-19 06:00
29.36,05-19 07:00
29.73,05-19 08:00
29.76,05-19 09:00
29.57,05-19 10:00
29.54,05-19 11:00
29.57,05-19 12:00
29.65,05-19 13:00
29.03,05-19 14:00
29.16,05-19 15:00
28.99,05-19 16:00
28.95,05-19 17:00
28.70,05-19 18:00
28.70,05-19 21:00
28.98,05-20 12:00
28.60,05-20 13:00
28.55,05-20 16:00
28.81,05-21 09:00
28.56,05-21 10:00
28.83,05-21 11:00
29.10,05-21 12:00
28.55,05-21 14:00
28.95,05-21 15:00
28.78,05-21 16:00
29.32,05-21 17:00
29.71,05-21 18:00
29.96,05-21 19:00
29.65,05-21 20:00
29.92,05-21 21:00
30.00,05-21 22:00
29.17,05-21 23:00
28.57,05-22 00:00
28.60,05-22 07:00
28.42,05-22 08:00
28.67,05-22 09:00
28.91,05-22 10:00
28.87,05-22 11:00
28.97,05-22 12:00
29.14,05-22 13:00
28.79,05-22 14:00
28.58,05-22 15:00
28.57,05-22 16:00
28.25,05-22 17:00
28.65,05-22 18:00
28.96,05-22 19:00
29.14,05-22 20:00
29.19,05-22 21:00
28.86,05-22 23:00
28.42,05-23 00:00
28.78,05-23 06:00
28.20,05-23 07:00
28.50,05-23 08:00
28.66,05-23 09:00
28.74,05-23 10:00
28.88,05-23 11:00
29.05,05-23 12:00
28.84,05-23 13:00
29.10,05-23 14:00
29.15,05-23 15:00
29.56,05-23 16:00
29.70,05-23 17:00
30.00,05-23 19:00
29.86,05-23 20:00
29.98,05-23 21:00
29.95,05-23 22:00
29.72,05-23 23:00
29.28,05-24 00:00
29.17,05-24 06:00
29.12,05-24 07:00
28.71,05-24 08:00
28.72,05-24 09:00
28.52,05-24 10:00
28.37,05-24 11:00
28.10,05-24 12:00
27.73,05-24 13:00
28.04,05-24 14:00
27.68,05-24 15:00
28.07,05-24 16:00
28.21,05-24 17:00
28.19,05-24 18:00
28.20,05-24 19:00
28.18,05-24 21:00
28.20,05-24 22:00
27.90,05-24 23:00
27.24,05-25 00:00
27.23,05-25 06:00
26.77,05-25 07:00
26.79,05-25 08:00
26.26,05-25 09:00
26.10,05-25 10:00
26.19,05-25 11:00
26.52,05-25 12:00
26.16,05-25 13:00
25.28,05-25 14:00
25.12,05-25 15:00
24.31,05-25 16:00
24.28,05-25 17:00
24.33,05-25 18:00
23.83,05-25 23:00
24.00,05-26 00:00
24.86,05-26 07:00
25.13,05-26 08:00
24.86,05-26 09:00
24.51,05-26 10:00
24.21,05-26 11:00
23.72,05-26 12:00
23.46,05-26 13:00
23.61,05-26 14:00
24.26,05-26 15:00
24.40,05-26 16:00
24.09,05-26 19:00
23.90,05-26 20:00
25.73,05-27 17:00
25.80,05-27 18:00
